"FAIRMILEHEAD (FROGSTON RD)",,,,,,,,,,,,
Grid ref,NT252681,Long,-3.197826,Lat,55.900183,,,,,,,
Station no,5133/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,2.91,0.43,3.08,2.07,1.59,3.68,1.43,,,,
February,2.48,0.45,0.75,1.72,1.52,1.83,2.88,1.86,,,,
March,3.18,1.19,0.41,1.45,2.14,1.20,1.74,2.10,,,,
April,2.88,1.41,2.28,1.14,0.51,0.67,0.67,1.38,,,,
May,3.40,1.82,2.27,4.67,2.18,0.88,1.77,2.20,,,,
June,1.69,2.79,1.71,2.18,0.83,2.52,1.42,3.56,,,,
July,4.03,2.49,4.04,1.66,1.78,5.61,5.11,6.34,,,,
August,5.57,5.29,2.24,5.66,1.12,7.30,3.32,2.49,,,,
September,1.07,1.94,3.00,3.32,1.34,4.04,1.66,2.49,,,,
October,0.60,1.59,1.57,6.12,1.58,1.95,2.25,1.11,,,,
November,4.81,2.35,3.34,3.32,0.74,0.75,1.53,1.03,,,,
December,2.61,3.27,3.62,2.88,4.76,2.97,2.66,4.19,,,,
Total,35.85,27.50,25.66,37.20,20.57,31.31,28.69,30.18,,,,
Calc annual,35.85,27.50,25.66,37.20,20.57,31.31,28.69,30.18,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
