"AM BATHAICH",,,,,,,,,,,,
Grid ref,NH673151,Long,-4.198468,Lat,57.207390,,,,,,,
Station no,5700/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.50,,,
February,,,,,,,,,1.39,,,
March,,,,,,,,,2.14,,,
April,,,,,,,,,4.59,,,
May,,,,,,,,3.48,1.63,,,
June,,,,,,,,2.05,2.93,,,
July,,,,,,,,4.86,,,,
August,,,,,,,,4.24,,,,
September,,,,,,,,4.32,,,,
October,,,,,,,,5.83,,,,
November,,,,,,,,1.11,,,,
December,,,,,,,,6.50,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.39,18.18,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
