"VENTNOR CEMETERY",,,,,,,,,,,,
Grid ref,SZ556777,Long,-1.215808,Lat,50.596386,,,,,,,
Station no,592/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.95,2.90,1.33,1.86,4.10,5.20,2.91,5.13,3.86,4.91,,
February,6.58,0.92,1.09,3.59,1.63,0.36,4.65,3.57,0.37,2.70,,
March,4.75,4.15,0.37,3.96,1.12,0.28,2.22,1.49,2.06,2.51,,
April,2.43,1.57,1.16,0.41,0.52,1.88,0.28,0.49,2.47,1.34,,
May,3.01,2.11,2.51,2.01,3.68,0.36,0.65,2.73,0.79,2.20,,
June,1.37,1.29,1.89,2.94,3.89,2.61,3.03,3.26,0.60,1.46,,
July,1.58,0.41,2.56,5.13,0.85,2.27,4.15,1.42,2.20,3.91,,
August,4.08,1.96,1.62,3.99,1.33,4.90,3.07,4.31,1.54,6.37,,
September,4.26,6.45,3.34,3.64,2.03,4.13,4.79,3.59,0.25,6.02,,
October,1.61,4.29,3.08,3.50,1.85,0.60,2.87,2.65,4.16,8.50,,
November,8.57,6.08,2.25,5.34,1.50,0.93,2.56,3.52,4.73,7.17,,
December,2.83,4.38,0.99,3.47,5.78,5.39,2.92,3.84,7.93,6.31,,
Total,46.02,36.51,22.19,39.84,28.28,28.91,34.10,36.00,30.96,53.40,,
Calc annual,46.02,36.51,22.19,39.84,28.28,28.91,34.10,36.00,30.96,53.40,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
