"GUISBOROUGH (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,NZ616161,Long,-1.049498,Lat,54.536433,,,,,,,
Station no,3478/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.61,3.70,1.27,2.06,2.81,6.86,,
February,,,,,2.70,2.40,2.15,3.32,0.42,4.09,,
March,,,,,2.24,0.75,0.79,2.75,0.68,,,
April,1.65,,,,1.57,1.10,0.62,2.19,2.06,,,
May,5.83,,,,2.70,0.34,1.03,3.22,0.90,1.08,,
June,2.10,,,,2.53,4.60,3.07,3.42,1.85,,,
July,1.94,,,,1.40,3.63,3.35,2.65,0.26,,,
August,,,,9.32,0.93,9.02,3.44,2.19,,,,
September,,,,1.15,1.29,2.00,3.50,1.50,,,,
October,,,,4.29,2.23,1.80,2.16,1.35,1.21,,,
November,,,,5.04,2.04,2.02,2.12,1.25,1.04,,,
December,,,,2.39,3.61,2.26,2.34,3.87,4.08,,,
Total,,,,,25.85,33.62,25.84,29.77,,,,
Calc annual,11.52,0.00,0.00,22.19,25.85,33.62,25.84,29.77,15.31,12.03,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,,
