"MILL BROOK NO. 91",,,,,,,,,,,,
Grid ref,SK188894,Long,-1.718710,Lat,53.401093,,,,,,,
Station no,2693/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.21,5.99,1.70,4.72,3.76,7.78,3.89,5.54,4.45,8.88,,
February,5.22,2.67,3.52,3.56,3.47,1.78,3.84,7.67,0.35,3.72,,
March,6.13,3.00,3.22,2.98,4.16,1.93,3.57,3.61,2.05,2.53,,
April,2.55,3.01,3.13,0.66,1.66,2.44,0.67,1.62,3.70,2.85,,
May,3.56,2.84,2.69,4.03,5.51,0.99,1.43,3.64,1.84,2.03,,
June,1.31,2.29,3.22,2.84,3.16,3.88,1.58,4.59,2.27,1.65,,
July,2.41,2.56,4.87,4.98,1.26,7.88,4.10,6.38,2.93,6.28,,
August,4.61,2.43,4.54,8.03,1.20,8.21,6.97,3.67,0.81,3.99,,
September,3.25,6.12,2.39,5.25,1.83,4.51,6.88,4.79,0.07,4.99,,
October,1.14,8.02,2.01,7.38,3.37,3.01,4.03,3.66,3.99,7.45,,
November,10.88,3.94,3.06,7.55,2.68,2.19,3.07,1.34,5.76,6.85,,
December,6.51,4.41,1.90,8.73,6.37,5.70,6.03,5.15,7.35,5.82,,
Total,52.78,47.28,36.25,60.71,38.43,50.30,46.06,51.66,35.57,57.04,,
Calc annual,52.78,47.28,36.25,60.71,38.43,50.30,46.06,51.66,35.57,57.04,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
