"COCKERMOUTH",,,,,,,,,,,,
Grid ref,NY116304,Long,-3.371917,Lat,54.660905,,,,,,,
Station no,3646/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.10,4.51,,
February,,,,,,,,,1.85,,,
March,,,,,,,,,2.50,,,
April,,,,,,,,,2.59,,,
May,,,,,,,,,1.76,,,
June,,,,,,,,3.64,3.97,,,
July,,,,,,,,3.01,2.76,,,
August,,,,,,,,4.00,0.57,,,
September,,,,,,,,3.75,1.73,,,
October,,,,,,,,4.24,5.17,,,
November,,,,,,,,1.69,5.13,,,
December,,,,,,,,3.02,4.76,,,
Total,,,,,,,,,34.89,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.35,34.89,4.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
