"ELPHIN",,,,,,,,,,,,
Grid ref,NC222118,Long,-5.015200,Lat,58.059526,,,,,,,
Station no,5805/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,8.02,7.01,5.92,3.62,8.12,9.04,7.69,8.15,4.20,,
February,3.86,6.35,5.76,3.92,3.51,5.87,3.90,5.96,2.96,6.24,,
March,4.29,4.98,4.15,3.16,2.59,2.24,4.94,2.80,1.89,1.32,,
April,6.57,1.75,4.41,3.03,3.60,3.74,2.75,4.13,6.43,4.27,,
May,1.87,4.17,3.93,3.18,3.50,5.18,3.05,5.59,3.66,2.63,,
June,2.50,5.34,1.99,5.87,3.09,3.93,3.42,3.67,6.98,3.86,,
July,5.17,4.79,7.34,7.55,0.36,6.72,3.53,2.44,8.23,3.72,,
August,3.13,5.65,6.50,3.15,1.28,5.42,7.86,5.37,4.34,5.03,,
September,3.41,8.33,6.33,8.80,8.41,4.18,9.42,3.28,3.49,3.51,,
October,4.24,7.45,3.60,12.42,9.17,8.01,10.98,8.71,10.10,,,
November,5.00,6.43,12.24,7.36,2.21,7.69,4.78,3.27,6.29,,,
December,10.76,7.72,6.09,12.40,8.92,9.30,12.02,5.10,5.82,,,
Total,55.22,70.98,69.35,76.76,50.26,70.40,75.69,58.01,68.34,,,
Calc annual,55.22,70.98,69.35,76.76,50.26,70.40,75.69,58.01,68.34,34.78,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
