"WOOTTON BRIDGE COUNTY SCHOOL",,,,,,,,,,,,
Grid ref,SZ545922,Long,-1.229218,Lat,50.726873,,,,,,,
Station no,608/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,3.52,,,,,,,,,,
February,7.06,0.84,,,,,,,,,,
March,5.07,3.51,,,,,,,,,,
April,3.01,2.51,,,,,,,,,,
May,2.61,2.36,,,,,,,,,,
June,1.48,1.22,,,,,,,,,,
July,1.65,0.46,,,,,,,,,,
August,3.22,2.05,,,,,,,,,,
September,3.34,5.86,,,,,,,,,,
October,1.36,4.33,,,,,,,,,,
November,9.35,4.60,,,,,,,,,,
December,3.87,3.04,,,,,,,,,,
Total,45.96,34.30,,,,,,,,,,
Calc annual,45.96,34.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
