"INVERGARRY (CRAIGARD)",,,,,,,,,,,,
Grid ref,NH293010,Long,-4.817146,Lat,57.068302,,,,,,,
Station no,5709/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,7.49,4.75,7.30,4.81,4.90,11.74,6.17,3.36,,,
February,,3.07,4.91,3.49,4.17,3.67,5.05,2.70,3.64,,,
March,,4.39,2.82,3.67,1.81,3.28,4.30,1.12,3.08,,,
April,,2.94,3.68,2.79,2.25,2.24,2.26,4.06,4.75,,,
May,,1.82,4.80,3.89,3.17,5.66,1.42,6.27,1.42,,,
June,,2.43,1.65,2.12,2.08,2.25,2.11,2.51,4.74,,,
July,,2.41,3.95,1.69,0.56,5.18,4.14,2.92,5.34,,,
August,,4.13,4.16,4.07,0.96,4.88,5.69,4.56,2.63,,,
September,,4.22,4.51,6.14,5.95,6.90,3.70,4.32,1.44,,,
October,,8.29,2.82,9.80,4.66,6.31,7.33,7.49,7.73,,,
November,,3.08,11.50,7.57,1.31,5.34,1.73,1.55,7.25,,,
December,,6.10,7.23,12.72,10.05,14.14,9.43,6.14,9.35,,,
Total,,50.37,56.78,65.25,41.78,64.75,58.90,49.81,54.73,,,
Calc annual,0.00,50.37,56.78,65.25,41.78,64.75,58.90,49.81,54.73,0.00,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
