"EXBURY",,,,,,,,,,,,
Grid ref,SU425001,Long,-1.398310,Lat,50.798910,,,,,,,
Station no,637,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,2.69,1.16,1.05,3.71,5.37,2.65,,,,,
February,5.51,0.72,1.41,3.05,1.68,0.08,4.11,,,,,
March,4.55,2.13,0.56,3.10,1.15,0.30,1.83,,,,,
April,3.17,2.08,1.55,0.38,0.40,2.09,0.10,,,,,
May,2.18,2.92,1.91,1.99,4.14,0.25,0.81,,,,,
June,1.73,1.09,3.15,2.78,3.01,2.46,1.06,,,,,
July,1.71,0.51,4.54,4.15,0.66,2.89,3.36,,,,,
August,3.58,2.86,1.20,3.11,0.65,3.26,2.80,,,,,
September,3.90,4.65,2.66,2.73,2.06,4.42,3.32,,,,,
October,1.22,3.99,3.14,3.09,6.00,1.57,2.78,,,,,
November,8.77,4.67,1.46,5.38,2.61,0.68,3.24,,,,,
December,3.45,3.23,0.84,3.20,4.35,4.91,2.50,,,,,
Total,43.42,31.54,23.58,34.01,30.42,28.28,28.56,,,,,
Calc annual,43.42,31.54,23.58,34.01,30.42,28.28,28.56,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
