"TEIGNMOUTH (HAZELDOWN RES.)",,,,,,,,,,,,
Grid ref,SX935745,Long,-3.504940,Lat,50.560519,,,,,,,
Station no,1727,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,3.37,0.62,1.85,5.38,4.24,3.52,3.68,5.20,4.24,,
February,5.87,0.59,1.40,3.40,2.65,0.26,5.79,3.45,0.32,5.18,,
March,4.69,2.99,0.58,3.77,2.13,1.16,3.07,2.22,4.67,3.02,,
April,1.96,3.06,2.83,0.18,1.07,0.82,0.17,0.62,3.46,1.87,,
May,2.92,2.73,3.60,2.04,4.21,0.87,2.07,2.97,1.36,1.80,,
June,0.98,1.89,2.18,3.68,3.20,1.48,2.05,3.07,1.04,1.06,,
July,1.71,0.98,2.46,2.67,2.95,2.32,3.42,2.26,1.89,3.95,,
August,3.99,4.21,1.61,2.90,0.57,3.29,2.31,2.62,3.23,5.52,,
September,4.37,3.48,3.08,2.80,1.14,6.46,2.42,3.97,0.13,7.58,,
October,0.99,6.04,2.97,2.70,2.21,1.83,2.14,2.95,3.16,11.46,,
November,6.21,5.98,2.09,8.54,4.23,1.32,2.31,2.61,8.08,5.19,,
December,3.18,3.49,0.72,3.56,5.72,5.40,2.43,4.37,6.84,3.45,,
Total,40.48,38.81,24.14,38.09,35.46,29.45,31.70,34.79,39.38,54.32,,
Calc annual,40.48,38.81,24.14,38.09,35.46,29.45,31.70,34.79,39.38,54.32,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
