"GLEN KYLLACHY",,,,,,,,,,,,
Grid ref,NH742253,Long,-4.089507,Lat,57.300901,,,,,,,
Station no,5701/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.20,7.00,,
February,,,,,,,,,1.20,7.00,,
March,,,,,,,,,1.43,1.35,,
April,,,,,,,,,3.42,5.14,,
May,,,,,,,,2.93,1.32,2.36,,
June,,,,,,,,2.89,2.42,3.99,,
July,,,,,,,,5.10,4.10,2.75,,
August,,,,,,,,5.60,0.99,8.41,,
September,,,,,,,,4.17,0.40,3.83,,
October,,,,,,,,4.84,5.50,4.82,,
November,,,,,,,,1.49,5.84,2.07,,
December,,,,,,,,4.90,4.00,3.66,,
Total,,,,,,,,,35.82,52.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.92,35.82,52.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
