"NEWCASTLE (LEAZES PARK)",,,,,,,,,,,,
Grid ref,NZ237651,Long,-1.631232,Lat,54.979946,,,,,,,
Station no,3561,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.03,1.54,0.78,2.87,1.99,3.67,1.03,1.67,1.77,4.69,,
February,2.11,0.65,1.73,1.65,2.74,2.50,1.91,3.47,0.57,1.97,,
March,3.58,1.05,0.09,1.23,1.91,1.03,1.15,3.21,0.56,1.68,,
April,1.45,0.94,2.45,0.52,0.67,1.36,0.43,1.23,1.66,0.73,,
May,3.59,1.58,2.00,3.33,1.78,0.37,1.53,3.08,0.51,1.87,,
June,2.21,1.71,2.05,2.06,3.00,2.63,2.08,2.58,1.77,0.22,,
July,1.55,0.92,3.13,1.99,1.01,2.56,3.48,3.49,1.24,4.51,,
August,4.87,2.46,4.20,5.62,1.14,7.30,3.29,2.54,0.26,3.51,,
September,0.98,3.51,1.82,2.84,1.13,3.05,3.69,1.63,0.76,2.08,,
October,0.77,2.77,1.29,4.40,1.40,1.86,1.75,1.25,1.90,6.27,,
November,5.26,3.23,0.79,3.19,1.51,0.65,1.43,0.48,4.68,2.64,,
December,1.51,3.71,0.79,1.80,2.82,1.64,1.71,3.74,2.94,2.09,,
Total,28.91,24.07,21.12,31.50,21.10,28.62,23.48,28.37,18.62,32.26,,
Calc annual,28.91,24.07,21.12,31.50,21.10,28.62,23.48,28.37,18.62,32.26,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
