"HALLING (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ701643,Long,0.441376,Lat,51.352316,,,,,,,
Station no,368,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,2.28,0.90,1.21,2.81,4.72,1.46,2.77,2.65,2.81,,
February,5.93,0.75,1.29,2.95,2.02,0.34,4.01,2.32,0.04,2.15,,
March,3.38,2.32,0.16,2.48,1.07,0.83,1.31,1.20,2.04,1.79,,
April,2.93,1.01,2.46,0.30,0.20,1.12,0.17,1.79,2.28,0.42,,
May,1.72,0.78,1.88,1.27,4.35,0.47,1.34,1.77,0.80,2.50,,
June,1.34,1.40,1.79,3.37,1.98,2.58,1.21,3.88,0.93,1.38,,
July,2.81,0.55,3.86,2.53,0.46,3.48,3.01,2.00,1.99,3.61,,
August,3.64,2.80,1.50,3.46,1.12,2.77,1.99,4.44,1.23,3.13,,
September,3.85,3.15,2.86,2.20,2.34,2.41,2.52,3.14,0.18,3.69,,
October,0.64,2.12,2.50,2.02,4.41,1.21,1.37,3.48,2.60,6.52,,
November,4.50,4.66,1.12,4.67,0.89,0.76,3.01,1.78,3.90,4.46,,
December,2.31,2.72,0.74,1.71,1.93,3.11,2.89,3.37,4.99,3.35,,
Total,36.06,24.54,21.06,28.17,23.58,23.80,24.29,31.94,23.63,35.81,,
Calc annual,36.06,24.54,21.06,28.17,23.58,23.80,24.29,31.94,23.63,35.81,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
