"MARKET HARBOROUGH (NITHSDALE AVENUE)",,,,,,,,,,,,
Grid ref,SP735867,Long,-0.919355,Lat,52.473294,,,,,,,
Station no,2492/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.02,1.03,2.43,3.43,1.17,2.51,4.07,4.38,,
February,,,1.58,2.39,1.96,0.96,2.92,3.77,0.11,1.77,,
March,,,1.03,2.47,2.65,0.85,1.96,1.88,2.14,2.07,,
April,,,1.91,0.35,0.86,0.88,0.38,0.95,2.60,0.82,,
May,,,1.23,1.84,3.62,0.68,1.66,1.96,0.54,0.93,,
June,,,3.74,1.97,-999.00,3.02,1.75,5.34,1.24,2.91,,
July,,,2.72,1.96,0.28,2.92,2.45,4.06,1.85,3.14,,
August,,,2.31,4.68,0.58,4.91,2.73,2.87,1.18,3.05,,
September,,,2.52,2.32,1.48,2.03,4.77,2.28,0.06,3.56,,
October,,,2.73,3.06,1.73,1.54,1.22,2.22,2.33,6.04,,
November,,,1.01,5.45,1.15,0.65,1.91,1.69,2.08,3.13,,
December,,,0.77,3.43,-999.00,3.66,2.42,2.61,4.83,3.24,,
Total,,,22.57,30.95,21.01,25.53,25.34,32.14,23.03,35.04,,
Calc annual,0.00,0.00,22.57,30.95,16.74,25.53,25.34,32.14,23.03,35.04,,
Difference,NaN,NaN,-0.00,0.00,4.27,0.00,0.00,0.00,0.00,0.00,,
