"GLYMPTON RECTORY",,,,,,,,,,,,
Grid ref,SP426213,Long,-1.382422,Lat,51.888635,,,,,,,
Station no,1044/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,2.29,1.20,1.13,2.69,4.26,2.29,3.76,4.32,4.05,,
February,3.59,0.75,1.66,2.43,1.76,0.41,3.85,3.15,0.05,2.77,,
March,3.62,2.82,1.00,3.04,1.53,0.74,2.36,1.62,3.26,1.57,,
April,3.42,2.16,2.07,0.44,0.83,1.76,0.41,0.81,3.11,0.71,,
May,3.20,3.58,1.90,2.08,4.54,0.44,1.27,2.65,0.69,2.18,,
June,1.28,1.41,2.42,3.62,3.11,2.42,2.40,3.46,1.04,3.31,,
July,1.39,0.30,3.05,2.02,0.14,1.71,3.48,3.11,1.79,4.72,,
August,4.15,3.41,3.43,3.77,0.41,3.99,3.12,3.09,3.15,2.03,,
September,2.81,1.13,1.63,2.57,1.69,2.55,3.88,3.74,0.26,4.84,,
October,0.94,4.31,3.19,2.68,2.30,1.91,2.07,2.75,2.39,6.91,,
November,6.30,4.23,1.49,5.65,2.18,0.79,2.20,3.00,2.03,4.42,,
December,1.90,2.87,0.88,2.01,2.69,3.73,2.41,3.26,5.46,3.78,,
Total,35.95,29.26,23.92,31.44,23.87,24.71,29.74,34.40,27.55,41.29,,
Calc annual,36.25,29.26,23.92,31.44,23.87,24.71,29.74,34.40,27.55,41.29,,
Difference,-0.30,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
