"SWINDON (CROFT ROAD)",,,,,,,,,,,,
Grid ref,SU153828,Long,-1.780767,Lat,51.543892,,,,,,,
Station no,1537/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.13,,,,,,,,,,
February,,0.79,,,,,,,,,,
March,3.87,3.15,,,,,,,,,,
April,2.84,1.88,,,,,,,,,,
May,3.42,3.38,,,,,,,,,,
June,1.35,1.78,,,,,,,,,,
July,0.85,0.24,,,,,,,,,,
August,6.38,4.80,,,,,,,,,,
September,3.19,1.78,,,,,,,,,,
October,0.84,4.12,,,,,,,,,,
November,6.41,,,,,,,,,,,
December,2.48,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,31.63,24.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
