"HARLESTON (STARSTON)",,,,,,,,,,,,
Grid ref,TM241844,Long,1.293606,Lat,52.411670,,,,,,,
Station no,1399/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,2.91,0.89,1.71,2.02,3.65,1.70,2.19,2.97,3.86,,
February,3.22,1.05,1.28,1.81,2.24,1.79,2.10,3.47,0.21,1.62,,
March,3.32,2.95,0.45,1.96,1.65,0.84,1.89,1.22,1.16,1.14,,
April,4.43,0.88,2.57,0.38,0.31,0.99,0.57,1.04,1.55,0.93,,
May,1.70,1.61,1.10,1.60,2.30,1.09,1.93,2.89,0.43,0.38,,
June,1.03,1.10,2.28,1.91,2.90,1.99,2.17,3.68,1.15,1.53,,
July,1.91,1.00,3.14,2.18,0.16,2.27,2.76,2.57,1.51,2.84,,
August,3.58,2.66,2.45,4.35,1.36,3.69,2.35,3.23,2.23,3.17,,
September,2.58,2.54,1.82,1.63,1.89,1.86,4.07,2.14,0.05,3.47,,
October,0.67,3.02,2.38,1.90,4.46,2.64,1.61,1.93,2.04,4.79,,
November,3.34,4.80,1.51,4.43,0.60,1.73,2.58,1.22,2.47,2.93,,
December,1.43,2.70,0.92,2.25,1.58,1.65,2.45,2.75,2.59,3.30,,
Total,29.48,27.22,20.79,26.11,21.47,24.19,26.18,28.33,18.36,29.96,,
Calc annual,29.48,27.22,20.79,26.11,21.47,24.19,26.18,28.33,18.36,29.96,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
