"WHATSTANDWELL (MEERBROOK SOUGH)",,,,,,,,,,,,
Grid ref,SK325555,Long,-1.516114,Lat,53.095722,,,,,,,
Station no,2667,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.98,3.90,0.91,1.92,2.97,6.12,2.68,4.11,3.23,5.71,,
February,4.48,0.51,2.30,3.04,2.55,1.22,3.34,5.12,0.10,3.46,,
March,4.77,2.47,2.32,2.52,3.99,1.30,3.02,2.19,2.14,2.33,,
April,2.58,2.33,3.19,0.61,1.51,1.85,0.11,1.19,3.63,1.76,,
May,3.40,3.41,1.94,3.38,3.49,0.74,0.90,3.30,0.54,1.98,,
June,1.59,2.55,3.84,4.34,3.48,3.73,1.38,4.09,1.03,2.47,,
July,0.72,1.46,2.87,2.38,0.79,4.46,4.66,4.81,2.22,3.57,,
August,5.28,2.83,2.46,4.54,0.50,6.00,5.41,2.91,0.96,4.86,,
September,2.31,2.48,1.46,4.34,0.88,3.50,7.24,3.12,0.04,5.08,,
October,0.90,4.44,2.28,4.37,3.13,1.74,2.56,2.97,2.58,6.49,,
November,8.00,2.21,2.50,6.59,3.50,1.13,2.57,0.98,3.90,4.95,,
December,3.63,3.35,1.27,4.58,3.49,4.86,2.92,4.30,5.90,3.95,,
Total,40.64,31.94,27.34,42.61,30.28,36.65,36.79,39.09,26.27,46.61,,
Calc annual,40.64,31.94,27.34,42.61,30.28,36.65,36.79,39.09,26.27,46.61,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
