"NONINGTON (RED TILES)",,,,,,,,,,,,
Grid ref,TR261521,Long,1.236651,Lat,51.223292,,,,,,,
Station no,291/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.06,2.57,0.90,2.17,3.88,4.58,1.81,3.70,2.94,3.93,,
February,5.93,1.61,2.35,2.28,2.33,1.90,3.70,3.04,0.05,2.05,,
March,3.00,3.22,0.14,3.21,1.79,0.47,0.77,1.92,1.95,1.74,,
April,2.11,1.53,1.34,0.37,0.26,0.72,0.38,1.79,3.26,0.91,,
May,2.03,1.08,1.92,1.87,3.66,0.65,1.16,1.61,0.98,2.17,,
June,1.06,1.93,2.61,2.24,1.60,2.70,0.87,4.10,0.68,2.41,,
July,1.26,1.20,2.39,2.20,2.27,2.08,2.83,2.20,1.72,3.35,,
August,4.09,3.67,1.97,3.46,2.29,3.17,2.25,3.60,1.55,2.30,,
September,3.79,6.00,3.90,1.64,0.96,1.52,4.16,2.60,0.18,2.61,,
October,2.82,2.84,2.74,2.90,4.84,1.78,1.02,3.67,3.15,8.12,,
November,4.32,4.22,2.11,6.02,1.12,0.98,5.31,1.56,6.11,4.97,,
December,2.56,3.00,1.23,1.87,2.10,2.65,1.56,4.25,7.08,4.35,,
Total,36.03,32.87,23.60,30.23,27.10,23.20,25.82,34.04,29.65,38.91,,
Calc annual,36.03,32.87,23.60,30.23,27.10,23.20,25.82,34.04,29.65,38.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
