"WIGTOFT (ASPERTON FARM)",,,,,,,,,,,,
Grid ref,TF260379,Long,-0.127207,Lat,52.923740,,,,,,,
Station no,2535/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.38,,
February,,,,,,,,,,2.65,,
March,,,,,,,,,,1.07,,
April,,,,,,,,,,0.45,,
May,,,,,,,,,,0.77,,
June,,,,,,,,,,0.61,,
July,,,,,,,,,,3.24,,
August,,,,,,,,,,2.84,,
September,,,,,,,,,,4.02,,
October,,,,,,,,,,4.18,,
November,,,,,,,,,,3.29,,
December,,,,,,,,,,3.87,,
Total,,,,,,,,,,30.37,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.37,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
