"CUMBERNAULD (AUCHENKILN ROAD)",,,,,,,,,,,,
Grid ref,NS743734,Long,-4.013870,Lat,55.937167,,,,,,,
Station no,5337/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.40,3.59,,
February,,,,,,,,,1.50,3.13,,
March,,,,,,,,,2.11,1.70,,
April,,,,,,,,,2.98,3.23,,
May,,,,,,,,,1.16,2.87,,
June,,,,,,,,,2.61,2.58,,
July,,,,,,,,,6.63,3.59,,
August,,,,,,,,,0.77,3.22,,
September,,,,,,,,,1.18,2.09,,
October,,,,,,,,,4.07,3.31,,
November,,,,,,,,2.10,6.06,5.48,,
December,,,,,,,,5.10,5.56,4.75,,
Total,,,,,,,,,36.03,39.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,36.03,39.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
