"TEMPLE GRAFTON COURT",,,,,,,,,,,,
Grid ref,SP123543,Long,-1.821505,Lat,52.186811,,,,,,,
Station no,2446,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.12,1.26,,,,,,,,,,
February,2.71,0.63,,,,,,,,,,
March,3.99,2.17,,,,,,,,,,
April,2.67,2.58,,,,,,,,,,
May,2.96,2.56,,,,,,,,,,
June,1.03,1.73,,,,,,,,,,
July,1.14,0.37,,,,,,,,,,
August,5.00,4.81,,,,,,,,,,
September,1.79,1.23,,,,,,,,,,
October,1.13,4.08,,,,,,,,,,
November,6.71,2.59,,,,,,,,,,
December,1.91,2.20,,,,,,,,,,
Total,33.16,26.21,,,,,,,,,,
Calc annual,33.16,26.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
