"LOCHEPORT (SCHOOLHOUSE)",,,,,,,,,,,,
Grid ref,NF855635,Long,-7.259800,Lat,57.551805,,,,,,,
Station no,5765/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.10,4.38,7.14,,,,,
February,,,,,2.81,3.00,3.99,,,,,
March,,,,,2.31,1.83,4.96,,,,,
April,,,,,2.03,2.08,,,,,,
May,,,,,2.73,4.42,,,,,,
June,,,,,4.50,3.03,,,,,,
July,,,,,0.67,6.03,,,,,,
August,,,,,1.68,6.46,,,,,,
September,,,,,5.77,4.19,,,,,,
October,,,,,6.82,5.84,,,,,,
November,,,,8.40,4.87,6.08,,,,,,
December,,,,5.82,7.43,6.00,,,,,,
Total,,,,,46.72,53.34,,,,,,
Calc annual,0.00,0.00,0.00,14.22,46.72,53.34,16.09,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
