"COTTENHAM (BERNARD HOUSE)",,,,,,,,,,,,
Grid ref,TL452678,Long,0.127442,Lat,52.289156,,,,,,,
Station no,1212,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,1.50,0.97,0.81,1.76,3.43,1.10,1.79,3.12,1.88,,
February,2.60,0.61,1.34,2.02,2.08,0.83,2.16,2.21,0.14,1.33,,
March,3.08,2.72,0.35,2.32,1.50,0.43,1.58,1.00,2.64,1.58,,
April,3.05,1.37,1.97,0.36,0.49,1.26,0.24,1.01,1.24,0.36,,
May,2.57,0.85,1.63,3.38,2.49,0.54,0.87,2.61,0.59,0.86,,
June,1.43,1.21,2.30,2.23,2.27,2.30,2.05,4.89,1.44,2.42,,
July,0.94,0.93,2.28,2.87,0.10,2.86,1.72,3.59,3.03,3.24,,
August,2.86,2.61,2.32,4.03,1.49,4.91,1.43,2.81,0.68,3.26,,
September,2.31,2.15,1.21,1.47,1.88,1.17,3.86,2.85,0.02,4.16,,
October,0.99,1.76,2.35,1.78,2.61,1.15,1.31,2.02,1.67,4.71,,
November,3.24,2.82,0.96,3.26,1.19,1.04,1.46,1.50,1.38,3.04,,
December,1.56,1.51,0.70,2.05,1.69,2.30,1.89,2.67,2.59,2.40,,
Total,27.19,20.04,18.38,26.58,19.55,22.22,19.67,28.95,18.54,29.24,,
Calc annual,27.19,20.04,18.38,26.58,19.55,22.22,19.67,28.95,18.54,29.24,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
