"NEWTOWN STEWART (BARONSCOURT)",,,,,,,,,,,,
Grid ref,IH364825,Long,-7.436251,Lat,54.689410,,,,,,,
Station no,6253,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.40,4.54,1.47,3.65,3.53,3.30,4.22,3.16,2.13,2.30,,
February,5.25,2.09,1.32,4.54,2.48,2.12,2.09,2.72,0.89,3.04,,
March,2.80,2.09,0.81,3.88,1.32,1.70,2.79,1.11,1.98,1.76,,
April,1.62,1.01,2.28,0.88,2.44,1.62,1.34,1.20,2.72,0.87,,
May,1.32,2.33,2.70,3.32,3.10,2.18,1.89,2.08,0.93,1.11,,
June,2.59,2.80,1.44,3.80,3.50,4.03,1.35,4.50,2.99,2.12,,
July,2.13,1.75,4.80,4.40,1.50,4.26,3.68,3.78,3.27,4.15,,
August,4.00,3.81,3.46,3.54,1.99,5.64,4.94,4.35,1.07,3.55,,
September,2.27,2.22,4.57,5.33,4.36,3.14,4.09,2.49,1.05,2.10,,
October,2.42,3.84,1.90,6.45,2.77,3.22,3.77,2.64,3.25,2.30,,
November,3.50,2.43,3.65,4.90,2.81,2.14,1.20,1.54,3.86,2.13,,
December,3.99,4.30,3.18,5.22,4.56,4.73,4.10,3.53,4.73,2.24,,
Total,35.29,33.21,31.58,49.91,34.36,38.08,35.46,33.10,28.87,27.67,,
Calc annual,35.29,33.21,31.58,49.91,34.36,38.08,35.46,33.10,28.87,27.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
