"SWINESHAW MOOR (BOAR FLAT)",,,,,,,,,,,,
Grid ref,SE020003,Long,-1.971319,Lat,53.499395,,,,,,,
Station no,2757/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.00,5.71,3.33,5.79,3.86,6.44,4.34,4.45,4.46,7.45,,
February,3.64,2.18,3.05,3.49,2.35,2.32,3.47,6.88,0.80,2.43,,
March,5.13,3.50,3.10,3.61,2.51,1.85,4.85,2.82,2.25,1.03,,
April,3.24,4.58,3.32,1.53,2.80,3.18,1.18,1.60,4.13,2.80,,
May,2.09,2.70,2.78,4.73,4.80,2.08,1.30,3.65,1.20,2.45,,
June,1.90,3.76,4.61,4.19,3.20,4.64,2.64,5.55,2.66,1.93,,
July,4.47,4.45,8.39,9.28,1.51,7.85,6.23,5.50,4.17,8.91,,
August,7.30,4.12,6.53,8.28,0.75,12.62,7.60,6.12,0.52,6.65,,
September,3.50,5.65,3.53,5.75,3.09,5.09,9.42,5.30,0.55,3.20,,
October,1.26,4.95,2.45,10.98,3.12,4.12,6.65,5.00,4.78,4.98,,
November,8.76,4.16,4.82,6.29,2.75,3.06,2.95,1.87,4.45,6.08,,
December,7.95,4.90,2.55,9.05,7.85,5.87,6.15,4.12,6.18,5.00,,
Total,56.24,50.66,48.46,72.97,38.58,59.12,56.78,52.86,36.15,52.91,,
Calc annual,56.24,50.66,48.46,72.97,38.59,59.12,56.78,52.86,36.15,52.91,,
Difference,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,0.00,-0.00,0.00,,
