"COLCHESTER (WATERWORKS)",,,,,,,,,,,,
Grid ref,TL991254,Long,0.892011,Lat,51.891580,,,,,,,
Station no,1319/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.68,2.13,0.79,1.50,2.37,3.38,0.91,2.47,1.84,1.89,,
February,4.24,0.77,1.08,2.15,1.69,0.43,2.40,2.44,0.08,1.58,,
March,2.64,2.97,0.41,2.06,1.28,0.86,1.15,0.73,1.36,1.85,,
April,2.72,1.07,1.82,0.36,0.13,0.81,0.09,1.00,1.92,0.36,,
May,2.24,1.00,1.38,1.62,2.96,0.62,0.88,2.23,0.35,0.82,,
June,0.94,1.79,3.41,2.26,2.39,1.86,1.42,4.51,0.73,0.19,,
July,1.85,0.56,3.21,2.72,0.11,3.24,3.82,3.09,1.09,2.74,,
August,3.07,2.34,2.59,2.68,1.88,3.67,2.56,4.82,0.66,3.45,,
September,2.29,2.97,1.39,1.60,1.71,1.22,2.63,3.20,0.01,3.15,,
October,0.69,2.23,2.08,1.59,3.84,1.10,1.46,2.50,1.63,5.68,,
November,3.51,4.34,1.22,3.28,0.62,0.55,2.38,1.00,2.50,3.50,,
December,1.67,2.43,0.76,1.54,1.46,1.93,2.08,3.68,3.50,2.51,,
Total,27.54,24.60,20.14,23.36,20.44,19.67,21.78,31.67,15.67,27.72,,
Calc annual,27.54,24.60,20.14,23.36,20.44,19.67,21.78,31.67,15.67,27.72,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
