"ELIOCK",,,,,,,,,,,,
Grid ref,NS798076,Long,-3.897089,Lat,55.347678,,,,,,,
Station no,5030/97,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.46,3.39,7.23,8.27,2.80,3.84,,
February,,,,,1.68,1.33,4.67,4.49,1.46,7.22,,
March,,,,,2.18,3.53,3.73,1.07,4.38,2.44,,
April,,,,,1.83,1.32,2.21,1.11,3.85,5.08,,
May,,,,,3.49,1.62,3.24,3.31,0.75,1.93,,
June,,,,,1.72,3.71,1.68,3.14,,2.94,,
July,,,,,2.12,5.64,2.96,4.64,,3.48,,
August,,,,4.18,2.41,7.82,6.48,5.67,,4.18,,
September,,,,8.97,3.99,5.67,4.00,5.80,,3.85,,
October,,,,9.51,3.66,3.70,3.92,4.56,,3.78,,
November,,,,11.78,3.51,2.15,2.60,1.80,9.29,10.60,,
December,,,,6.96,6.50,7.10,5.66,5.22,,5.57,,
Total,,,,,37.55,46.98,48.38,49.08,,54.91,,
Calc annual,0.00,0.00,0.00,41.40,37.55,46.98,48.38,49.08,22.53,54.91,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,-0.00,0.00,NaN,-0.00,,
