"WHEATON ASTON",,,,,,,,,,,,
Grid ref,SJ848133,Long,-2.226456,Lat,52.717139,,,,,,,
Station no,2341/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,1.61,2.45,4.69,,
February,,,,,,,,3.50,0.35,1.71,,
March,,,,,,,,1.23,1.79,1.38,,
April,,,,,,,,0.63,3.16,1.20,,
May,,,,,,,,1.94,1.18,1.99,,
June,,,,,,,,4.14,1.59,2.55,,
July,,,,,,,,6.00,1.62,3.47,,
August,,,,,,,,4.07,1.13,2.55,,
September,,,,,,,,3.85,0.19,5.17,,
October,,,,,,,,2.41,2.29,6.95,,
November,,,,,,,1.88,1.63,3.13,4.48,,
December,,,,,,,1.19,2.37,3.44,2.25,,
Total,,,,,,,,33.38,22.32,38.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,3.07,33.38,22.32,38.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
