"GRAVESEND (SOUTHFIELDS SCHOOL)",,,,,,,,,,,,
Grid ref,TQ651714,Long,0.372937,Lat,51.417576,,,,,,,
Station no,407/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,,,,,,,,,,,
February,5.51,,,,,,,,,,,
March,2.71,,,,,,,,,,,
April,2.96,,,,,,,,,,,
May,2.36,,,,,,,,,,,
June,1.03,,,,,,,,,,,
July,2.85,,,,,,,,,,,
August,2.35,,,,,,,,,,,
September,2.94,,,,,,,,,,,
October,0.74,,,,,,,,,,,
November,3.67,,,,,,,,,,,
December,2.25,,,,,,,,,,,
Total,31.22,,,,,,,,,,,
Calc annual,31.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
