"CURDRIDGE (SUNNYSIDE)",,,,,,,,,,,,
Grid ref,SU539137,Long,-1.234564,Lat,50.920250,,,,,,,
Station no,697,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.74,2.54,1.28,2.67,3.74,5.22,3.00,4.49,3.47,4.20,,
February,6.11,0.74,1.61,3.55,2.06,0.32,4.67,3.11,0.23,3.50,,
March,4.57,3.09,0.65,3.52,1.54,0.58,2.55,1.63,2.96,2.09,,
April,2.93,2.16,1.89,0.41,0.60,2.07,0.22,0.87,2.73,1.13,,
May,2.53,2.73,2.67,2.12,4.70,0.31,1.64,2.56,0.43,1.30,,
June,1.71,1.33,2.26,4.00,2.96,2.56,1.58,3.14,0.72,2.70,,
July,2.06,0.52,5.20,3.40,1.57,3.26,5.92,1.95,2.50,4.62,,
August,5.20,3.37,1.90,3.50,0.85,3.92,2.99,5.38,2.80,4.58,,
September,4.05,3.55,3.52,3.49,1.80,3.69,3.82,5.44,0.14,6.02,,
October,1.59,4.81,3.86,3.34,5.59,2.58,2.60,3.58,3.16,7.72,,
November,8.72,4.47,1.78,6.05,3.30,0.88,3.00,3.38,3.77,5.83,,
December,3.11,2.70,0.83,3.31,4.39,5.45,2.86,4.00,6.52,4.00,,
Total,46.32,32.01,27.45,39.36,33.10,30.84,34.75,39.53,29.43,47.69,,
Calc annual,46.32,32.01,27.45,39.36,33.10,30.84,34.85,39.53,29.43,47.69,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.10,0.00,0.00,0.00,,
