"FRANT (HENLEY GARDENS)",,,,,,,,,,,,
Grid ref,TQ597342,Long,0.278760,Lat,51.084892,,,,,,,
Station no,577,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.19,3.19,1.29,1.79,4.67,5.75,3.45,4.09,2.90,3.34,,
February,7.85,1.05,1.49,2.67,2.44,1.11,5.52,2.85,0.07,2.50,,
March,3.62,3.67,0.17,3.79,1.57,0.99,1.44,2.07,2.09,2.52,,
April,2.57,2.29,2.72,0.45,0.28,1.32,0.32,1.59,3.05,0.91,,
May,1.65,1.17,1.49,2.70,4.84,0.65,1.73,2.14,0.96,2.62,,
June,1.88,1.27,1.97,3.79,2.82,3.12,1.56,4.38,0.96,1.79,,
July,1.86,0.80,3.66,3.45,4.99,4.43,3.78,2.46,2.21,3.86,,
August,6.39,2.85,1.88,3.31,1.16,4.22,3.46,4.95,1.09,6.65,,
September,3.55,3.97,4.62,3.09,2.74,3.96,4.33,4.24,0.13,2.97,,
October,1.57,3.76,3.44,3.19,5.27,1.91,1.87,4.11,3.07,8.28,,
November,6.98,4.99,1.80,7.53,1.69,1.24,3.38,1.97,4.82,8.27,,
December,3.96,3.45,0.96,2.62,3.45,6.05,3.12,4.83,8.12,4.80,,
Total,46.07,32.46,25.49,38.38,35.92,34.75,33.96,39.68,29.47,48.51,,
Calc annual,46.07,32.46,25.49,38.38,35.92,34.75,33.96,39.68,29.47,48.51,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
