"ALLT COIRE A'GHABHALACH",,,,,,,,,,,,
Grid ref,NN341397,Long,-4.698255,Lat,56.519986,,,,,,,
Station no,5408/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.05,5.45,9.25,,
February,,,,,,,,7.20,11.93,10.82,,
March,,,,,,,,4.94,10.94,3.34,,
April,,,,,,,,8.90,8.85,13.88,,
May,,,,,,,,9.75,5.70,5.40,,
June,,,,,,,,3.40,8.89,5.48,,
July,,,,,,,,5.85,11.93,6.30,,
August,,,,,,,,11.70,11.56,8.20,,
September,,,,,,,,9.20,3.70,5.50,,
October,,,,,,,-999.00,15.45,14.49,7.63,,
November,,,,,,,-999.00,2.65,14.86,13.28,,
December,,,,,,,-999.00,9.40,19.20,15.15,,
Total,,,,,,,,97.49,127.50,104.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.49,127.50,104.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
