"GLETSDALE (NEW WATER)",,,,,,,,,,,,
Grid ref,NY580513,Long,-2.655723,Lat,54.854722,,,,,,,
Station no,3616/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.81,3.13,3.14,2.15,5.04,,
February,,,,,,1.81,2.52,5.08,1.07,2.28,,
March,,,,,,1.75,2.93,0.98,1.34,1.03,,
April,,,,,,1.32,1.26,2.16,3.01,1.90,,
May,,,,,2.19,1.49,2.76,3.47,1.10,1.86,,
June,,,,,4.01,3.81,1.81,2.38,3.19,1.60,,
July,,,,,1.87,4.37,6.65,4.80,3.91,6.57,,
August,,,,,2.31,11.19,5.30,4.37,0.85,3.08,,
September,,,,,2.98,3.26,5.23,4.17,1.60,1.80,,
October,,,,,2.33,3.34,4.73,3.63,4.68,4.15,,
November,,,,,1.49,1.84,1.65,1.59,5.32,5.18,,
December,,,,,5.17,3.75,3.91,3.99,4.58,4.23,,
Total,,,,,,40.74,41.88,39.76,32.80,38.72,,
Calc annual,0.00,0.00,0.00,0.00,22.35,40.74,41.88,39.76,32.80,38.72,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,-0.00,0.00,,
