"LOCH RANNOCH (POWER HOUSE)",,,,,,,,,,,,
Grid ref,NN531582,Long,-4.400256,Lat,56.692362,,,,,,,
Station no,5560/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,3.02,2.71,4.23,2.04,3.28,6.48,3.61,1.79,3.00,,
February,3.13,1.73,2.43,2.60,2.84,2.25,3.95,2.05,1.55,3.07,,
March,2.24,2.49,1.80,2.94,0.73,3.50,3.92,0.85,2.29,1.59,,
April,3.73,2.17,2.98,1.39,1.44,1.86,1.50,1.84,3.64,5.01,,
May,0.80,2.51,2.44,4.14,2.26,2.61,1.11,4.14,1.36,2.61,,
June,1.43,2.89,2.84,1.83,1.25,2.53,2.17,2.52,2.78,1.85,,
July,2.28,2.52,5.20,1.67,0.58,4.97,3.90,3.37,3.86,1.96,,
August,3.37,3.98,3.06,3.30,1.20,4.38,4.00,5.59,2.34,3.30,,
September,2.61,3.10,4.48,4.90,3.73,4.73,1.78,4.35,1.21,3.11,,
October,1.61,5.15,2.89,8.23,3.61,3.77,5.05,4.72,6.03,3.60,,
November,6.61,2.58,6.59,7.26,1.80,3.35,0.74,0.89,4.94,4.34,,
December,6.48,4.72,6.54,9.14,8.10,6.80,6.49,5.89,5.87,5.98,,
Total,38.30,36.86,43.96,51.63,29.58,44.02,41.09,39.82,37.66,39.42,,
Calc annual,38.30,36.86,43.96,51.63,29.58,44.03,41.09,39.82,37.66,39.42,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.00,0.00,,
