"MUCHRACHD",,,,,,,,,,,,
Grid ref,NH287337,Long,-4.849569,Lat,57.361460,,,,,,,
Station no,5713/85,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.87,4.29,,
February,,,,,,,,,2.21,3.81,,
March,,,,,,,,,2.72,1.18,,
April,,,,,,,,,4.94,6.22,,
May,,,,,,,,,1.51,1.00,,
June,,,,,,,,,2.85,2.39,,
July,,,,,,,,,5.70,2.53,,
August,,,,,,,,,2.81,5.01,,
September,,,,,,,,,1.13,2.55,,
October,,,,,,,,,6.71,3.04,,
November,,,,,,,,1.47,6.76,3.32,,
December,,,,,,,,5.56,7.54,7.72,,
Total,,,,,,,,-999.00,49.75,43.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.03,49.75,43.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1006.03,0.00,0.00,,
