"REDEWATER (COUNTESS CRAG)",,,,,,,,,,,,
Grid ref,NT708022,Long,-2.461598,Lat,55.313009,,,,,,,
Station no,3580/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.03,4.30,2.90,5.50,6.07,4.07,7.96,5.97,4.45,9.52,,
February,4.10,0.93,3.50,3.86,3.75,3.61,5.47,7.35,2.05,5.56,,
March,2.86,2.78,0.76,5.52,3.30,1.51,3.54,2.34,2.94,2.98,,
April,4.12,3.68,4.35,1.07,1.66,1.02,0.96,3.44,3.86,4.13,,
May,3.32,2.43,2.42,6.74,4.47,2.01,2.76,4.85,0.90,2.43,,
June,1.63,2.96,4.74,3.29,1.75,4.13,2.67,3.73,4.03,2.69,,
July,3.93,1.86,6.57,4.91,2.88,5.74,4.57,6.33,3.35,4.44,,
August,4.02,6.62,4.62,8.55,1.18,8.95,7.74,4.54,1.34,5.26,,
September,4.80,4.46,5.77,6.39,3.62,3.81,3.84,4.23,1.30,3.11,,
October,1.24,6.18,2.66,9.48,4.64,3.68,5.96,3.44,4.54,6.28,,
November,8.62,4.69,6.32,7.87,2.44,2.04,1.76,1.15,7.37,7.34,,
December,6.97,6.76,3.33,8.72,8.42,6.38,4.04,5.31,8.61,5.70,,
Total,51.64,47.65,47.94,71.90,44.18,46.95,51.27,52.68,44.74,59.44,,
Calc annual,51.64,47.65,47.94,71.90,44.18,46.95,51.27,52.68,44.74,59.44,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
