"BOTWNNOG",,,,,,,,,,,,
Grid ref,SH263313,Long,-4.581011,Lat,52.851104,,,,,,,
Station no,4382/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,3.11,,
May,,,,,,,,,,1.95,,
June,,,,,,,,,,1.99,,
July,,,,,,,,,,3.20,,
August,,,,,,,,,,4.16,,
September,,,,,,,,,,5.44,,
October,,,,,,,,,,6.55,,
November,,,,,,,,,,8.86,,
December,,,,,,,,,,4.87,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
