"GLENLEVEN (CORROUR)",,,,,,,,,,,,
Grid ref,NN356664,Long,-4.690920,Lat,56.760116,,,,,,,
Station no,5750/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.40,4.90,5.93,5.53,3.79,6.87,17.44,9.87,7.15,9.25,,
February,4.28,2.40,5.60,5.57,4.73,6.00,6.51,5.31,4.40,7.50,,
March,4.31,5.44,3.57,4.68,1.47,4.72,7.43,2.50,7.50,2.15,,
April,6.74,4.12,4.82,2.27,2.57,3.93,3.77,4.55,6.30,8.70,,
May,0.85,3.41,7.71,4.36,4.30,8.61,2.22,7.30,1.90,3.40,,
June,3.53,4.12,1.26,3.81,3.54,3.65,3.31,2.65,4.55,2.80,,
July,4.04,5.08,7.66,3.33,1.05,7.08,7.32,3.05,6.90,4.15,,
August,5.97,3.89,6.59,4.30,-999.00,6.41,8.44,6.50,5.55,6.20,,
September,6.36,7.26,5.59,10.68,9.43,9.68,5.40,7.15,1.85,4.10,,
October,4.72,8.39,7.39,14.33,8.52,8.39,11.95,10.15,9.05,3.35,,
November,7.31,8.37,15.22,14.08,3.71,7.32,3.10,2.10,8.80,6.55,,
December,11.77,6.81,8.61,14.40,15.92,18.69,15.27,6.90,11.15,10.75,,
Total,65.28,64.19,79.95,87.34,61.62,91.35,92.16,68.03,75.10,68.90,,
Calc annual,65.28,64.19,79.95,87.34,59.03,91.35,92.16,68.03,75.10,68.90,,
Difference,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,-0.00,0.00,,
