"HOPE (CEMENT WORKS)",,,,,,,,,,,,
Grid ref,SK168823,Long,-1.749165,Lat,53.337342,,,,,,,
Station no,2688,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.55,5.50,2.00,3.88,3.05,7.41,2.79,4.58,3.55,6.47,,
February,5.20,2.09,2.10,3.24,2.60,0.99,3.08,7.31,0.37,2.75,,
March,6.77,1.93,2.89,2.74,3.57,1.74,3.58,2.84,1.83,1.83,,
April,2.01,2.98,3.22,0.63,1.69,1.52,0.29,1.25,3.60,1.99,,
May,2.12,3.29,2.12,2.86,4.28,0.62,1.52,3.78,1.14,2.28,,
June,1.15,2.02,2.82,3.20,3.40,2.97,1.70,4.45,1.95,1.52,,
July,1.68,1.76,4.41,4.29,1.91,6.94,4.21,6.39,2.50,6.04,,
August,4.63,2.25,3.68,5.71,0.48,7.31,7.12,2.78,0.58,3.52,,
September,2.56,4.12,1.98,4.32,1.67,3.82,7.12,4.59,0.09,3.67,,
October,0.97,5.78,2.05,5.23,2.87,2.97,3.32,3.56,3.33,5.30,,
November,9.13,3.16,2.58,6.59,2.34,1.67,1.89,1.15,5.14,5.77,,
December,6.43,3.86,1.49,6.51,5.67,5.80,5.36,5.50,6.88,4.53,,
Total,47.20,38.74,31.34,49.20,33.53,43.76,41.98,48.18,30.96,45.67,,
Calc annual,47.20,38.74,31.34,49.20,33.53,43.76,41.98,48.18,30.96,45.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
