"BRANKSOME (BOURNE VALLEY)",,,,,,,,,,,,
Grid ref,SZ060924,Long,-1.916350,Lat,50.731187,,,,,,,
Station no,1588,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,2.24,1.08,1.75,3.34,4.93,3.06,4.46,3.73,3.35,,
February,6.52,0.85,1.36,2.84,2.02,0.10,4.35,3.19,0.33,2.88,,
March,4.16,2.81,0.62,4.62,1.29,1.00,2.80,1.72,3.63,2.48,,
April,3.45,2.09,2.33,0.18,0.58,2.21,0.13,0.78,2.56,2.09,,
May,2.61,2.42,2.61,3.82,3.98,0.50,2.04,2.16,0.98,2.37,,
June,0.46,0.88,2.48,2.81,2.65,2.77,1.45,3.86,1.76,2.54,,
July,1.10,0.81,3.19,3.66,0.65,3.85,3.00,1.18,2.03,5.56,,
August,4.66,3.26,1.88,3.22,0.87,3.48,2.80,3.26,2.91,5.37,,
September,3.73,5.02,3.03,3.89,1.57,5.37,2.96,4.73,0.41,6.26,,
October,1.54,4.88,3.41,3.05,4.97,1.48,2.63,3.22,3.38,10.40,,
November,10.68,4.64,2.18,5.71,2.80,1.04,2.12,2.62,4.25,6.08,,
December,3.18,2.90,0.84,2.96,5.39,5.09,2.54,4.56,9.48,3.89,,
Total,45.74,32.80,25.01,38.51,30.11,31.82,29.88,35.74,35.45,53.27,,
Calc annual,45.74,32.80,25.01,38.51,30.11,31.82,29.88,35.74,35.45,53.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
