"NORTH BERWICK RESERVOIR",,,,,,,,,,,,
Grid ref,NT552841,Long,-2.720772,Lat,56.047660,,,,,,,
Station no,5107,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,0.88,0.57,1.85,1.34,2.07,2.18,,,,,
February,1.93,0.57,0.75,1.52,1.52,2.15,3.07,,,,,
March,2.58,1.33,0.26,1.12,1.45,0.84,2.06,,,,,
April,2.37,1.35,1.94,1.60,0.81,0.64,1.38,,,,,
May,2.90,1.95,2.35,3.75,2.00,0.54,1.32,,,,,
June,1.70,2.16,1.27,2.72,0.90,2.31,0.95,,,,,
July,3.28,1.96,4.12,2.22,2.16,4.80,4.15,,,,,
August,3.87,2.18,1.89,5.28,0.60,5.87,4.18,,,,,
September,0.73,1.95,2.21,2.61,1.35,3.72,1.38,,,,,
October,0.24,1.30,0.94,5.73,1.44,1.42,100.00,,,,,
November,4.26,2.32,2.23,2.00,0.88,0.68,100.00,,,,,
December,1.33,1.90,2.72,1.79,3.72,1.81,100.00,,,,,
Total,28.01,19.85,21.25,32.19,18.17,26.85,100.00,,,,,
Calc annual,28.01,19.85,21.25,32.19,18.17,26.85,320.67,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-220.67,NaN,NaN,NaN,,
