"HARTSHILL (MAINTENENCE DEPOT)",,,,,,,,,,,,
Grid ref,SP325952,Long,-1.522096,Lat,52.553678,,,,,,,
Station no,2488/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.24,1.10,1.16,-999.00,4.11,1.29,,,5.08,,
February,,1.21,1.48,2.26,2.18,0.55,2.74,,,1.53,,
March,,2.42,1.59,1.82,3.12,0.93,2.28,,,1.44,,
April,,2.47,1.87,0.35,0.86,0.81,0.44,,,1.25,,
May,,2.28,1.50,2.48,3.77,0.86,1.38,,,1.55,,
June,,1.87,2.56,3.00,2.62,3.82,0.66,,,4.33,,
July,,0.97,2.85,2.59,0.89,3.00,4.20,,,2.99,,
August,,4.13,2.59,3.63,0.40,4.31,3.90,,,1.64,,
September,,1.55,1.88,1.41,1.97,2.20,4.63,,,3.28,,
October,,3.66,3.03,3.38,1.82,1.54,1.11,,,5.97,,
November,,1.96,1.30,5.41,2.32,0.77,1.96,,,3.30,,
December,,3.01,0.78,2.14,1.71,2.93,2.47,,,2.87,,
Total,,27.77,22.53,29.63,23.71,25.83,27.06,,,35.23,,
Calc annual,0.00,27.77,22.53,29.63,21.66,25.83,27.06,0.00,0.00,35.23,,
Difference,NaN,-0.00,0.00,0.00,2.05,0.00,0.00,NaN,NaN,0.00,,
