"STRINE DALE RES NO 2",,,,,,,,,,,,
Grid ref,SD955064,Long,-2.069396,Lat,53.554207,,,,,,,
Station no,3092/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.02,4.72,1.95,4.66,2.92,5.11,4.36,4.15,3.86,5.79,,
February,3.07,1.39,2.14,3.34,2.65,1.54,3.38,5.74,0.53,2.43,,
March,4.95,2.99,2.41,2.79,2.08,1.44,4.17,2.60,2.31,1.16,,
April,2.89,4.28,3.36,0.93,2.53,3.30,0.68,1.50,4.40,2.69,,
May,2.16,2.12,2.59,3.27,4.18,1.81,1.62,4.09,1.32,2.03,,
June,0.78,3.48,3.31,3.99,3.65,3.58,2.46,5.33,3.09,2.30,,
July,4.04,3.16,7.32,5.69,1.26,6.46,5.17,4.35,3.74,8.14,,
August,6.56,3.63,5.29,6.15,0.80,12.23,5.42,6.25,0.58,6.94,,
September,3.47,3.42,3.16,6.26,2.88,3.88,7.03,6.15,0.46,3.52,,
October,1.33,5.04,2.57,8.37,2.07,3.60,6.28,4.17,4.47,5.48,,
November,8.67,2.79,4.84,6.15,1.86,1.93,2.46,1.75,5.16,6.18,,
December,6.96,3.85,1.76,7.28,5.48,4.77,4.78,4.09,7.02,4.63,,
Total,49.90,40.87,40.70,58.88,32.36,49.65,47.81,50.17,36.94,51.29,,
Calc annual,49.90,40.87,40.70,58.88,32.36,49.65,47.81,50.17,36.94,51.29,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
