"PETERHEAD (FOREHILL WORKS)",,,,,,,,,,,,
Grid ref,NK105463,Long,-1.826425,Lat,57.506778,,,,,,,
Station no,5656,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,3.58,1.87,1.00,1.00,,,,,,,
February,3.24,1.93,1.37,2.00,1.81,,,,,,,
March,2.68,2.55,0.24,1.50,1.44,,,,,,,
April,3.03,1.67,1.64,0.91,0.77,,,,,,,
May,0.61,1.92,1.69,3.67,3.08,,,,,,,
June,1.58,2.57,2.91,2.61,0.90,,,,,,,
July,3.91,1.62,1.84,1.90,0.27,,,,,,,
August,4.24,2.37,1.91,1.98,0.20,,,,,,,
September,1.04,3.24,1.81,2.34,1.77,,,,,,,
October,0.73,1.74,0.96,4.81,4.21,,,,,,,
November,5.44,2.73,1.90,4.43,1.59,,,,,,,
December,2.19,2.82,2.50,3.86,4.18,,,,,,,
Total,31.59,28.74,20.64,31.01,21.22,,,,,,,
Calc annual,31.59,28.74,20.64,31.01,21.22,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
