"YEOVIL (SUMMERLEAZE PARK SCHOOL)",,,,,,,,,,,,
Grid ref,ST546163,Long,-2.647587,Lat,50.944340,,,,,,,
Station no,2060/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.67,1.93,0.81,1.89,2.65,3.45,2.27,2.56,4.08,2.91,,
February,4.85,0.61,1.29,2.59,2.03,0.00,4.68,3.14,0.27,3.12,,
March,2.59,2.56,0.62,3.56,1.20,0.55,1.86,1.20,2.74,1.78,,
April,3.01,2.08,3.50,0.33,1.36,1.03,0.26,0.51,2.75,2.27,,
May,2.79,2.96,2.25,1.89,3.36,0.55,1.31,2.13,1.60,1.32,,
June,1.09,2.06,2.39,2.67,2.33,1.61,1.62,3.99,0.69,1.13,,
July,2.27,0.86,3.41,2.49,2.65,1.93,2.84,2.09,1.86,3.28,,
August,4.63,3.43,2.21,2.14,1.72,4.21,2.21,2.02,2.05,5.08,,
September,2.68,3.63,3.77,2.34,1.34,4.60,3.12,4.32,0.07,3.36,,
October,1.17,3.85,3.28,2.05,1.60,1.38,2.26,2.15,3.19,8.90,,
November,8.34,3.98,1.40,5.99,3.22,0.63,2.44,2.81,4.04,5.96,,
December,2.64,2.45,0.82,3.01,4.50,3.62,2.65,3.33,6.28,4.27,,
Total,38.73,30.40,25.75,30.95,27.96,23.56,27.52,30.25,29.62,43.38,,
Calc annual,38.73,30.40,25.75,30.95,27.96,23.56,27.52,30.25,29.62,43.38,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
