"MINEHEAD (DUNKERY LODGE)",,,,,,,,,,,,
Grid ref,SS968459,Long,-3.478549,Lat,51.202959,,,,,,,
Station no,2098/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.59,,,2.11,3.78,,,,,,,
February,5.10,,,3.81,2.85,,,,,,,
March,4.09,,,4.15,1.47,,,,,,,
April,4.07,,,0.21,0.84,,,,,,,
May,2.34,,,1.75,4.45,,,,,,,
June,1.33,,,3.25,3.18,,,,,,,
July,1.26,,,2.47,1.90,,,,,,,
August,3.33,,,3.27,0.59,,,,,,,
September,2.60,,,3.67,1.54,,,,,,,
October,1.44,,,3.30,1.74,,,,,,,
November,6.95,,,8.39,3.44,,,,,,,
December,3.56,,,3.62,4.94,,,,,,,
Total,40.66,,,40.00,30.72,,,,,,,
Calc annual,40.66,0.00,0.00,40.00,30.72,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
