"LOGIE COLDSTONE SCHOOL",,,,,,,,,,,,
Grid ref,NJ434044,Long,-2.936531,Lat,57.127021,,,,,,,
Station no,5641,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,1.81,1.72,2.31,1.15,,2.45,1.61,2.41,5.68,,
February,3.69,1.32,1.15,3.07,3.75,,1.90,4.01,0.30,2.18,,
March,2.79,2.42,0.36,2.58,1.22,,2.31,3.97,0.83,2.33,,
April,2.56,1.18,2.81,0.81,0.72,,1.08,1.48,1.53,1.36,,
May,1.26,2.34,1.63,3.84,-999.00,,2.46,3.17,0.89,1.25,,
June,1.47,2.74,3.35,1.65,-999.00,,1.46,2.98,2.29,0.87,,
July,3.54,1.94,3.83,1.97,-999.00,6.13,6.22,5.35,2.40,2.70,,
August,4.17,3.61,1.32,3.42,-999.00,4.30,3.86,3.82,0.76,5.00,,
September,1.25,2.46,2.42,1.48,1.61,3.74,2.35,1.97,0.54,3.74,,
October,1.03,3.26,1.03,5.07,-999.00,2.52,1.38,1.79,4.26,8.01,,
November,8.25,3.48,1.70,4.28,-999.00,1.17,2.06,0.67,5.57,3.29,,
December,1.73,4.15,2.50,4.36,-999.00,3.85,4.60,4.26,5.34,2.07,,
Total,35.15,30.71,23.82,34.84,,,32.13,35.08,27.12,38.48,,
Calc annual,35.15,30.71,23.82,34.84,8.45,21.71,32.13,35.08,27.12,38.48,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,,
