"DUNSTABLE (CEMETERY)",,,,,,,,,,,,
Grid ref,TL011215,Long,-0.532565,Lat,51.882906,,,,,,,
Station no,1159/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,1.76,1.45,0.96,2.47,4.05,1.23,2.70,,,,
February,4.57,0.73,2.05,2.09,2.04,0.64,3.04,2.50,,,,
March,3.18,2.45,0.66,2.29,1.18,1.03,1.12,1.98,,,,
April,2.79,1.98,2.02,0.36,0.59,1.23,0.30,1.03,,,,
May,2.95,2.20,1.66,2.82,3.97,0.52,1.37,2.29,,,,
June,0.90,0.76,1.97,3.83,1.99,2.52,1.50,4.49,,,,
July,1.72,0.47,3.20,3.55,0.35,3.81,2.56,2.37,,,,
August,3.70,3.20,2.05,3.30,0.50,5.06,2.66,2.83,,,,
September,2.34,3.38,1.67,1.41,1.67,2.01,2.72,3.54,,,,
October,1.17,3.10,1.92,1.74,2.57,1.83,2.80,2.35,,,,
November,4.58,3.86,1.19,4.62,1.23,1.11,2.17,2.21,,,,
December,1.61,2.69,0.77,2.13,2.29,3.68,2.72,2.81,,,,
Total,32.19,26.58,20.61,29.10,20.85,27.49,24.19,31.10,,,,
Calc annual,32.19,26.58,20.61,29.10,20.85,27.49,24.19,31.10,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
