"GAIRLOCH (OPINAN)",,,,,,,,,,,,
Grid ref,NG746729,Long,-5.783317,Lat,57.689269,,,,,,,
Station no,5784/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,7.61,3.04,4.40,3.04,4.71,7.45,,,,,
February,2.19,4.95,3.07,3.49,3.46,3.13,3.56,,,,,
March,2.61,4.00,1.71,3.64,1.62,0.99,,,,,,
April,3.58,3.50,4.53,1.54,2.05,0.94,,,,,,
May,0.93,2.55,2.99,3.58,2.67,5.50,,,,,,
June,1.51,2.89,1.89,4.31,2.89,2.35,,,,,,
July,3.43,2.62,4.90,3.47,1.04,4.89,,,,,,
August,3.80,4.60,6.10,2.93,0.85,3.99,,,,,,
September,3.00,4.49,3.97,5.53,6.76,2.77,,,,,,
October,3.74,4.09,4.26,7.84,6.28,5.50,,,,,,
November,3.97,4.18,11.33,5.98,1.78,5.56,,,,,,
December,5.18,6.02,4.72,5.39,5.61,5.84,,,,,,
Total,38.44,51.50,52.51,52.10,38.05,46.17,,,,,,
Calc annual,38.44,51.50,52.51,52.10,38.05,46.17,11.01,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
