"GLEN NEVIS (STEALL)",,,,,,,,,,,,
Grid ref,NN176685,Long,-4.986436,Lat,56.772259,,,,,,,
Station no,5750/3/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,10.32,,,,
February,,,,,,,,5.19,,,,
March,,,,,,,,2.85,,,,
April,,,,,,,,6.64,,,,
May,,,,,,,,10.57,,,,
June,,,,,,,,3.15,,,,
July,,,,,,,,3.89,,,,
August,,,,,,,,7.81,,,,
September,,,,,,,,7.98,,,,
October,,,,,,,15.17,13.83,,,,
November,,,,,,,3.98,2.01,,,,
December,,,,,,,13.65,7.88,,,,
Total,,,,,,,,82.12,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.80,82.12,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
