"DORCHESTER(LITTLEMAYNE)",,,,,,,,,,,,
Grid ref,SY723870,Long,-2.393436,Lat,50.681991,,,,,,,
Station no,1573,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.68,3.06,1.05,,,,,,,,,
February,6.39,1.07,2.75,,,,,,,,,
March,5.32,4.14,0.79,,,,,,,,,
April,2.84,2.25,3.37,,,,,,,,,
May,3.20,3.17,3.56,,,,,,,,,
June,0.56,0.99,2.70,,,,,,,,,
July,1.74,0.92,4.01,,,,,,,,,
August,7.39,2.97,2.65,,,,,,,,,
September,5.01,4.78,3.67,,,,,,,,,
October,1.22,5.24,4.47,,,,,,,,,
November,9.91,4.35,2.06,,,,,,,,,
December,3.76,4.07,1.36,,,,,,,,,
Total,52.02,37.01,32.44,,,,,,,,,
Calc annual,52.02,37.01,32.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
