"BRADFORD (BOWLING CEMETERY)",,,,,,,,,,,,
Grid ref,SE174308,Long,-1.737472,Lat,53.773252,,,,,,,
Station no,3265/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.37,3.41,0.60,2.72,2.00,5.07,2.43,3.25,3.20,5.43,,
February,3.03,0.88,2.72,3.11,2.62,1.62,3.32,4.84,0.17,2.25,,
March,3.92,2.12,1.74,2.18,2.66,1.11,2.63,2.18,1.39,2.19,,
April,1.63,1.83,2.62,0.29,1.15,2.84,0.27,0.89,3.81,1.46,,
May,4.80,1.77,1.67,3.70,2.42,0.92,1.40,4.09,1.21,1.26,,
June,1.28,1.78,3.17,1.60,1.89,2.10,1.82,5.10,2.20,0.91,,
July,2.96,1.35,3.59,2.18,0.77,4.97,3.24,4.47,2.62,4.01,,
August,5.05,3.87,3.70,7.03,1.12,7.20,5.74,2.98,0.55,4.92,,
September,2.44,3.31,2.30,3.42,1.59,3.75,4.52,3.49,0.24,3.17,,
October,1.24,4.36,2.10,5.15,1.95,1.64,3.23,2.81,3.94,5.81,,
November,7.86,1.61,3.83,5.13,2.42,0.93,2.32,1.02,4.23,5.99,,
December,4.73,2.94,1.92,4.57,4.20,4.17,4.21,4.17,5.83,4.51,,
Total,42.31,29.23,29.96,41.08,24.79,36.32,35.13,39.29,29.39,41.91,,
Calc annual,42.31,29.23,29.96,41.08,24.79,36.32,35.13,39.29,29.39,41.91,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
