"BIDFORD (MOOR HALL)",,,,,,,,,,,,
Grid ref,SP088538,Long,-1.872712,Lat,52.182382,,,,,,,
Station no,2445,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.00,1.40,0.77,0.97,2.37,3.07,1.27,2.11,3.24,4.23,,
February,2.70,0.65,0.94,2.03,1.40,0.40,2.09,3.16,0.13,1.53,,
March,4.00,2.27,0.91,1.86,1.83,0.66,2.11,1.14,1.73,0.90,,
April,2.70,2.30,1.95,0.68,1.13,0.94,0.11,0.63,2.57,1.03,,
May,3.00,2.62,1.50,1.91,4.28,0.54,1.24,2.35,1.22,1.40,,
June,1.00,1.82,1.55,2.98,2.66,1.89,1.29,3.74,0.79,1.95,,
July,1.53,0.33,4.50,3.35,0.18,1.84,3.10,3.46,0.87,3.47,,
August,4.46,5.65,3.39,4.04,0.37,4.44,4.03,2.69,1.41,5.35,,
September,2.05,1.24,1.86,2.08,0.93,2.48,3.47,3.95,0.06,4.29,,
October,0.87,4.85,1.55,2.84,1.30,2.18,1.35,2.34,2.44,4.28,,
November,6.83,2.14,1.09,4.33,1.84,0.60,1.74,2.08,2.97,2.79,,
December,1.65,2.25,0.76,1.71,1.85,2.66,1.62,2.22,3.17,2.52,,
Total,32.79,27.52,20.77,28.78,20.14,21.70,23.42,29.87,20.60,33.74,,
Calc annual,32.79,27.52,20.77,28.78,20.14,21.70,23.42,29.87,20.60,33.74,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
