"CRAIG WOOD SOUTH",,,,,,,,,,,,
Grid ref,NO060518,Long,-3.534595,Lat,56.648533,,,,,,,
Station no,5568/53,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.30,,
February,,,,,,,,,,5.80,,
March,,,,,,,,,,3.40,,
April,,,,,,,,,4.35,5.60,,
May,,,,,,,,,1.05,3.25,,
June,,,,,,,,,2.00,3.05,,
July,,,,,,,,,4.75,4.45,,
August,,,,,,,,,1.55,3.60,,
September,,,,,,,,,1.15,3.05,,
October,,,,,,,,,4.40,7.90,,
November,,,,,,,,,5.60,4.60,,
December,,,,,,,,,9.00,3.25,,
Total,,,,,,,,,,52.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.85,52.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
