"HAWICK (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NT512156,Long,-2.772718,Lat,55.431848,,,,,,,
Station no,5045/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.34,4.66,2.79,1.98,4.09,,
February,,,,,,2.17,3.17,2.35,0.75,3.27,,
March,,,,,,1.01,1.50,0.98,1.24,1.35,,
April,,,,,,0.48,0.62,1.67,1.98,2.13,,
May,,,,,,1.09,1.46,2.53,0.46,1.35,,
June,,,,,,1.74,1.18,2.94,2.22,1.30,,
July,,,,,,5.08,2.89,5.38,1.87,3.15,,
August,,,,,,7.75,4.13,2.62,0.53,6.50,,
September,,,,,,3.05,2.23,3.27,1.00,2.26,,
October,,,,,,1.91,2.80,1.99,2.70,3.20,,
November,,,,,,0.86,1.10,0.68,6.00,3.87,,
December,,,,,,3.72,2.79,3.31,4.73,3.48,,
Total,,,,,,31.20,28.53,30.51,25.46,35.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,31.20,28.53,30.51,25.46,35.95,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
