"WEYBRIDGE (OIL MILLS)",,,,,,,,,,,,
Grid ref,TQ073655,Long,-0.459665,Lat,51.378422,,,,,,,
Station no,232,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,2.06,0.90,1.06,2.70,3.80,1.62,2.24,2.08,2.27,,
February,6.49,0.88,1.09,2.16,1.34,0.18,2.94,2.24,0.05,2.02,,
March,3.59,3.09,0.37,2.02,0.89,0.44,1.02,1.38,1.70,1.17,,
April,2.45,1.84,2.06,0.42,0.20,1.26,0.22,0.91,2.07,0.61,,
May,2.27,2.10,1.46,3.13,3.51,0.15,1.21,2.33,0.47,1.88,,
June,1.04,1.78,1.53,4.25,2.33,1.75,0.83,4.02,1.15,2.06,,
July,2.02,0.51,3.61,2.57,0.24,4.62,2.88,1.71,2.73,2.95,,
August,3.47,3.30,1.80,2.90,1.36,3.79,3.28,2.94,1.25,2.77,,
September,2.52,3.35,2.01,2.05,1.40,2.77,2.64,3.56,0.45,1.86,,
October,0.59,2.87,2.94,1.89,2.85,1.66,1.59,2.26,2.58,6.29,,
November,6.46,2.92,1.26,3.97,1.37,0.53,2.66,1.87,2.39,3.94,,
December,1.91,2.47,0.64,2.33,2.24,2.98,1.82,2.37,3.58,2.56,,
Total,35.91,27.17,19.67,28.75,20.43,23.93,22.71,27.83,20.50,30.38,,
Calc annual,35.91,27.17,19.67,28.75,20.43,23.93,22.71,27.83,20.50,30.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
