"PENTLAND HILLS (GLENCORSE FILTERS)",,,,,,,,,,,,
Grid ref,NT225631,Long,-3.239563,Lat,55.854842,,,,,,,
Station no,5121,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.19,3.36,0.56,3.54,2.29,1.89,4.32,1.83,1.30,3.26,,
February,2.91,0.62,1.05,2.15,1.72,2.06,2.76,2.32,0.71,2.61,,
March,3.46,1.50,0.66,1.93,2.03,1.38,1.93,1.81,0.81,1.51,,
April,3.61,2.07,2.99,1.34,0.94,0.84,1.03,2.14,2.16,1.17,,
May,3.18,1.80,1.90,4.96,2.72,1.28,1.63,2.36,0.68,1.11,,
June,1.98,2.69,1.78,3.07,0.91,2.73,1.88,3.49,1.80,1.39,,
July,3.55,2.17,4.21,2.33,2.12,5.10,5.87,6.44,3.29,2.71,,
August,5.74,3.75,1.78,6.18,1.29,7.79,4.39,3.09,0.46,3.77,,
September,1.47,2.73,2.82,3.74,1.67,4.03,1.79,3.28,0.60,1.65,,
October,0.70,1.86,1.55,6.55,1.87,1.94,2.70,1.49,2.44,2.95,,
November,5.54,2.87,4.36,3.60,0.90,0.86,1.84,1.20,5.48,3.30,,
December,3.16,4.61,3.61,4.33,5.29,3.09,3.29,4.75,3.24,3.46,,
Total,39.49,30.03,27.27,43.72,23.75,32.99,33.43,34.20,22.97,28.89,,
Calc annual,39.49,30.03,27.27,43.72,23.75,32.99,33.43,34.20,22.97,28.89,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
