"FALKIRK (WINDSOR ROAD)",,,,,,,,,,,,
Grid ref,NS873796,Long,-3.808476,Lat,55.996070,,,,,,,
Station no,5344/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.62,,
February,,,,,,,,,,3.06,,
March,,,,,,,,,,1.82,,
April,,,,,,,,,,2.58,,
May,,,,,,,,,,2.94,,
June,,,,,,,,,,1.62,,
July,,,,,,,,,,2.61,,
August,,,,,,,,,,3.67,,
September,,,,,,,,,0.82,1.99,,
October,,,,,,,,,3.21,3.79,,
November,,,,,,,,,4.93,4.18,,
December,,,,,,,,,5.23,3.77,,
Total,,,,,,,,,,35.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.19,35.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
