"NORTHAMPTON (STIMPSON AVENUE)",,,,,,,,,,,,
Grid ref,SP768615,Long,-0.876541,Lat,52.246333,,,,,,,
Station no,1109,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,1.47,1.11,0.87,1.88,3.43,1.04,2.76,3.73,3.10,,
February,3.03,0.63,1.54,1.90,1.31,0.38,1.99,2.94,0.06,1.70,,
March,3.43,2.32,0.84,2.36,2.00,0.78,1.74,1.96,3.13,1.37,,
April,2.71,2.07,1.69,0.26,0.63,1.04,0.32,1.08,2.17,0.55,,
May,2.69,2.67,1.11,3.07,4.92,0.36,1.49,2.09,0.38,1.27,,
June,0.72,0.89,1.82,2.79,3.07,3.11,1.93,4.30,0.74,3.51,,
July,0.86,0.25,2.60,2.45,0.01,4.86,3.18,2.61,2.15,3.61,,
August,3.57,3.32,2.50,3.35,0.37,4.70,2.53,2.96,0.66,3.44,,
September,1.68,1.71,1.19,1.97,1.41,1.90,4.55,2.37,0.04,3.85,,
October,0.69,2.86,1.91,1.66,1.84,1.27,1.26,2.09,1.60,5.94,,
November,5.15,2.18,1.45,5.16,1.42,0.68,1.92,2.00,1.95,3.37,,
December,1.91,2.22,0.69,2.11,1.69,2.65,2.05,2.41,4.00,2.78,,
Total,29.02,22.59,18.45,27.95,20.55,25.16,24.00,29.57,20.61,34.49,,
Calc annual,29.02,22.59,18.45,27.95,20.55,25.16,24.00,29.57,20.61,34.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
