"CUPAR (PITLAIR)",,,,,,,,,,,,
Grid ref,NO319121,Long,-3.101933,Lat,56.296426,,,,,,,
Station no,5491,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,0.97,0.48,1.24,1.71,2.39,3.55,2.26,1.03,3.62,,
February,2.99,0.62,0.79,2.53,2.20,1.42,3.52,3.12,0.46,2.60,,
March,3.28,2.45,0.49,3.14,2.46,1.37,1.75,2.33,1.65,2.09,,
April,1.91,1.09,2.32,1.30,0.68,0.96,0.70,1.77,2.87,2.03,,
May,2.18,2.17,2.03,6.55,2.26,0.65,1.54,2.76,0.62,1.47,,
June,1.72,2.22,1.10,2.26,1.03,3.17,1.11,3.10,2.83,1.47,,
July,4.46,1.57,2.88,2.22,1.34,4.72,5.56,5.34,4.70,2.71,,
August,3.59,2.84,1.31,3.34,0.56,5.94,4.16,2.93,0.69,4.07,,
September,1.93,1.16,2.34,2.57,1.09,3.81,1.51,2.02,0.63,1.44,,
October,0.34,2.83,1.60,6.33,1.56,1.97,1.86,1.83,1.49,5.91,,
November,6.26,1.88,2.96,4.93,1.52,0.63,1.89,0.88,6.37,3.55,,
December,2.58,1.96,3.05,3.40,4.42,2.84,3.43,5.18,5.60,2.30,,
Total,34.84,21.76,21.35,39.81,20.83,29.87,30.58,33.52,28.94,33.26,,
Calc annual,34.84,21.76,21.35,39.81,20.83,29.87,30.58,33.52,28.94,33.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
