"ELSTEAD",,,,,,,,,,,,
Grid ref,SU921426,Long,-0.683891,Lat,51.175231,,,,,,,
Station no,184/4/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.40,2.97,3.47,,
February,,,,,,,,2.41,0.13,3.05,,
March,,,,,,,,1.99,3.18,1.79,,
April,,,,,,,,0.84,2.46,0.85,,
May,,,,,,,,2.76,0.58,1.39,,
June,,,,,,,,3.51,1.03,1.53,,
July,,,,,,,,1.13,2.83,3.32,,
August,,,,,,,,4.01,2.70,3.41,,
September,,,,,,,,4.32,0.14,3.60,,
October,,,,,,,,2.61,2.38,7.72,,
November,,,,,,,,2.11,4.19,5.29,,
December,,,,,,,,3.16,6.36,3.73,,
Total,,,,,,,,32.25,28.95,39.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.25,28.95,39.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
