"BARNSTAPLE (N.DEVON ATHANAEUM)",,,,,,,,,,,,
Grid ref,SS558330,Long,-4.059891,Lat,51.078153,,,,,,,
Station no,1840,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.21,4.00,0.93,2.09,3.88,3.60,2.65,2.59,4.26,3.13,,
February,3.71,1.23,1.78,3.86,2.84,0.43,4.79,3.41,0.32,2.44,,
March,3.89,2.63,1.07,2.26,1.03,0.48,3.11,0.83,3.06,1.35,,
April,3.09,3.94,2.01,0.63,2.00,1.37,0.21,0.65,2.25,2.78,,
May,2.16,2.80,2.70,1.98,3.41,0.60,1.89,2.94,0.92,1.20,,
June,0.98,1.63,1.42,2.71,2.97,1.60,1.33,3.45,1.30,0.80,,
July,1.61,1.00,5.59,4.22,0.82,5.37,2.76,2.42,2.58,5.58,,
August,4.31,5.78,2.92,2.81,0.24,3.24,3.05,4.61,1.22,5.28,,
September,2.74,3.56,3.97,3.93,1.88,5.02,4.57,4.70,0.40,3.14,,
October,2.38,4.44,2.18,3.84,2.04,2.43,4.23,3.60,5.02,7.45,,
November,3.96,4.05,3.06,6.61,2.69,1.64,2.09,4.08,8.81,6.43,,
December,3.39,3.95,1.28,3.51,5.27,3.74,2.03,3.83,6.60,5.40,,
Total,36.43,39.01,28.91,38.45,29.07,29.52,32.71,37.11,36.74,44.98,,
Calc annual,36.43,39.01,28.91,38.45,29.07,29.52,32.71,37.11,36.74,44.98,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
